№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
78,АБАЕВА ФАТИМА МАИРБЕКОВНА,Индивидуальный предприниматель,Микропредприятие,310151612600031,151606517435,41.20 Строительство жилых и нежилых зданий,15 - Республика Северная Осетия - Алания,,Город Владикавказ,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
79,АБАЕВА ХЕДА СОЛАЕВНА,Индивидуальный предприниматель,Микропредприятие,323200000014613,200702581263,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,г Грозный,,Да,10.04.2023,,,,,Нет,Нет,Нет,Нет,Нет,
80,АБАЗА НАРТ,Индивидуальный предприниматель,Микропредприятие,321010000002208,72501641701,41.20 Строительство жилых и нежилых зданий,01 - Республика Адыгея (Адыгея),,г Майкоп,,Нет,10.12.2021,,,,,Нет,Нет,Нет,Нет,Нет,
81,АБАЗАЛИЕВ АЛЬБЕРТ АБРЕКЗАУРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318091700015592,91702992718,41.20 Строительство жилых и нежилых зданий,09 - Карачаево-Черкесская Республика,ПРИКУБАНСКИЙ РАЙОН,,СЕЛО ПРИСТАНЬ,Нет,10.09.2018,10.05.2019,,,,Нет,Нет,Нет,Нет,Нет,
82,АБАЗАЛИЕВ АРСЕН УМАРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318091700015744,91601642040,41.20 Строительство жилых и нежилых зданий,09 - Карачаево-Черкесская Республика,УСТЬ-ДЖЕГУТИНСКИЙ РАЙОН,,АУЛ НОВАЯ ДЖЕГУТА,Нет,10.10.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
83,АБАЗОВ АМАНТАЙ АЛИЖАНОВИЧ,Индивидуальный предприниматель,Микропредприятие,323420500011172,425308619501,41.20 Строительство жилых и нежилых зданий,42 - Кемеровская область,,г Новокузнецк,,Да,10.03.2023,,,,,Нет,Нет,Нет,Нет,Нет,
84,АБАЗОВ ЛЕВ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321091700015115,90105179722,41.20 Строительство жилых и нежилых зданий,09 - Карачаево-Черкесская Республика,,г Черкесск,,Нет,10.07.2021,10.08.2023,,,,Нет,Нет,Нет,Нет,Нет,
85,АБАЗОВ МИХАИЛ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,324595800004951,590604230872,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Пермь,,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
86,АБАЗОВ МИХАИЛ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320595800020340,590604230872,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,ГОРОД ПЕРМЬ,,Нет,10.03.2020,10.01.2023,,,,Нет,Нет,Нет,Нет,Нет,
87,АБАЗОВ МУХАМЕД ЮРЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,324070000010870,70100772453,41.20 Строительство жилых и нежилых зданий,07 - Кабардино-Балкарская Республика,,г Баксан,,Да,10.04.2024,,,,,Нет,Нет,Нет,Нет,Нет,
88,АБАЗОВ РУСТАМ ХАСАНОВИЧ,Индивидуальный предприниматель,Микропредприятие,316072600089751,72196743310,41.20 Строительство жилых и нежилых зданий,07 - Кабардино-Балкарская Республика,,ГОРОД НАЛЬЧИК,,Нет,10.11.2016,,,,,Нет,Нет,Нет,Нет,Нет,
89,АБАЗОВ СУЛЕЙМАН БЕКИРБИЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322070000038725,72195737105,41.20 Строительство жилых и нежилых зданий,07 - Кабардино-Балкарская Республика,,г Нальчик,кп Вольный Аул,Нет,10.01.2023,10.05.2023,,,,Нет,Нет,Нет,Нет,Нет,
90,АБАЗОВА РУГИЯ ФАСИЛ КЫЗЫ,Индивидуальный предприниматель,Микропредприятие,322300000017765,302502314725,41.20 Строительство жилых и нежилых зданий,30 - Астраханская область,,г Астрахань,,Нет,10.09.2022,,,,,Нет,Нет,Нет,Нет,Нет,
91,АБАЗЯН АЛЕКСАНДР ВОЛОДЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323265100093802,263109545932,41.20 Строительство жилых и нежилых зданий,26 - Ставропольский край,,г Невинномысск,,Да,10.08.2023,,,,,Нет,Нет,Нет,Нет,Нет,
92,АБАЗЯН АРТАК ГОРИКОВИЧ,Индивидуальный предприниматель,Микропредприятие,322237500374370,231204800509,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,ст-ца Старокорсунская,Нет,10.11.2022,,,,,Нет,Нет,Нет,Нет,Нет,
93,АБАЗЯН МАРИНА АНДРЕЕВНА,Индивидуальный предприниматель,Не является субъектом МСП,322237500361671,232525768104,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Апшеронский р-н,,ст-ца Кабардинская,Нет,10.11.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
94,АБАЗЯН ФЕЛИКС ГРИГОРИ,Индивидуальный предприниматель,Микропредприятие,322565800067486,562302383926,41.20 Строительство жилых и нежилых зданий,56 - Оренбургская область,Оренбургский р-н,,с Ивановка,Нет,10.10.2022,,,,,Нет,Нет,Нет,Нет,Нет,
95,АБАИМОВ АНТОН ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,316554300138440,550702090466,41.20 Строительство жилых и нежилых зданий,55 - Омская область,,ГОРОД ОМСК,,Нет,10.10.2016,,,,,Нет,Нет,Нет,Нет,Нет,
96,АБАИМОВ НИКОЛАЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322732500009140,730501029922,41.20 Строительство жилых и нежилых зданий,73 - Ульяновская область,Вешкаймский р-н,,с Беклемишево,Нет,10.03.2022,10.02.2024,,,,Нет,Нет,Нет,Нет,Нет,
97,АБАИМОВ ОЛЕГ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322745600067119,740199840149,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Челябинск,,Нет,10.06.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
98,АБАИМОВ ПЕТР СЕРГЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,320665800047353,662101714031,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,НЕВЬЯНСКИЙ РАЙОН,,ПОСЕЛОК ШУРАЛА,Нет,10.04.2020,,,,,Нет,Нет,Нет,Нет,Нет,
99,АБАЙБУРОВ АЙРАТ ИЛЬНУРОВИЧ,Индивидуальный предприниматель,Микропредприятие,322169000226234,160905461591,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Арский р-н,,с Тюбяк-Чекурча,Да,10.01.2023,,,,,Нет,Нет,Нет,Нет,Нет,
100,АБАЙДУЛИН ГАФУР ИЛДАРОВИЧ,Индивидуальный предприниматель,Микропредприятие,319723200074441,720319839378,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,ГОРОД ТЮМЕНЬ,,Нет,10.11.2019,,,,,Нет,Нет,Нет,Нет,Нет,
101,АБАЙДУЛИН ИЛЬНУР РИВАЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320723200033451,720317429633,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,ЯРКОВСКИЙ РАЙОН,,ДЕРЕВНЯ ВАРВАРА,Нет,10.07.2020,10.10.2021,,,,Нет,Нет,Нет,Нет,Нет,
102,АБАЙДУЛИН МУРАТ АДАМОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321237500197186,231297002154,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,Нет,10.06.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
103,АБАЙДУЛИНА ЕЛЕНА ОЛЕГОВНА,Индивидуальный предприниматель,Микропредприятие,322237500393858,231298922429,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,Нет,10.12.2022,,,,,Нет,Нет,Нет,Нет,Нет,
104,АБАЙДУЛЛИНА ЮЛИЯ АЛЕКСЕЕВНА,Индивидуальный предприниматель,Микропредприятие,323645700066445,645294448139,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Саратов,,Да,10.08.2023,,,,,Нет,Нет,Нет,Нет,Нет,
105,АБАЙХАНОВ ТЕМИРЛАН НАЗИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,323265100027427,262808682496,41.20 Строительство жилых и нежилых зданий,26 - Ставропольский край,,г Кисловодск,,Да,10.04.2023,,,,,Нет,Нет,Нет,Нет,Нет,
106,АБАКАЕВА АЛЬБИКА ЮНУСОВНА,Индивидуальный предприниматель,Не является субъектом МСП,320203600008967,200701623680,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,НАДТЕРЕЧНЫЙ РАЙОН,,СЕЛО НАДТЕРЕЧНОЕ,Нет,10.03.2020,10.09.2020,,,,Нет,Нет,Нет,Нет,Нет,
107,АБАКАЕВА ЛИДА АБДУЛБЕКОВНА,Индивидуальный предприниматель,Микропредприятие,322200000031456,201200528927,41.20 Строительство жилых и нежилых зданий,26 - Ставропольский край,Грачевский Район,,Село Кугульта,Нет,10.08.2022,,,,,Нет,Нет,Нет,Нет,Нет,
108,АБАКАРГАДЖИЕВ МАГОМЕД САИДОВИЧ,Индивидуальный предприниматель,Микропредприятие,322057100101092,52103722518,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,г Махачкала,,Нет,10.12.2022,,,,,Нет,Нет,Нет,Нет,Нет,
109,АБАКАРОВ АБДУРАХМАН АХМЕДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319057100041486,53413359695,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,ХАСАВЮРТОВСКИЙ РАЙОН,,СЕЛО КОСТЕК,Нет,10.07.2019,10.02.2024,,,,Нет,Нет,Нет,Нет,Нет,
